"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"American Samoa","ASM","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","0.7691782","0.7553057","0.750665","0.7584894","0.7549647","0.816013","0.8220022","0.8559131","0.8382524","0.8894365","1.0833787","1.7253081","0.8330971","0.8797676","0.9167072","0.9433889","0.9756599","1.0024842","1.0262674","1.0874149","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","10.219987","11.176864","11.147259","11.485748","11.085569","11.481129","11.943742","12.307961","13.743168","14.790224","16.930092","16.115784","18.527925","16.178652","17.525509","17.875685","16.499099","16.511065","18.168697","16.740961","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","30","30","30","30","30","20","20","20","20","20","20","20","20","20","","",
"Australia","AUS","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","52432.78","49790.03","61266.85","48457.96","53544.75","59253.4","69355.68","66314.27","54317.27","65181.53","68823.72","50442.27","62563.27","52196.56","53159.73","69421.71","60232.69","51142.87","52741.85","55953.76","77930","77010","76180","75990","75850","75720","69980","69010","73520","90540","98660","109130","102140","62120","85890","63080","82530","77640","62100","65750","54650","107800","107090","63530","75800","71960","57390","79440","76760","","",
"Austria","AUT","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","5857.543","6101.203","6169.651","6471.684","6587.159","6485.355","6620.205","6733.479","6803.136","6837.763","6835.531","6718.196","6314.483","6281.902","6255.583","5980.675","5759.862","5446.049","5740.58","5330.233","4900","4910","4700","4650","4600","4590","4690","4640","4630","4630","4590","4460","4350","4340","3790","3800","3770","3660","3790","3530","3520","3550","3590","3620","3670","3680","3700","3630","3620","","",
"Azerbaijan","AZE","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","1857.6998","1951.8003","2001.4809","2099.0689","2174.7647","2290.6024","2269.4728","2329.0021","2346.576","2367.0732","2421.1465","2427.7495","2441.9258","2534.8452","2591.4233","2640.1336","2707.0812","2732.7461","2700.9556","2623.127","2850","2910","2550","2350","2230","2240","2160","2270","2300","2370","2380","2570","2690","2770","2900","2950","3080","3100","3290","3330","3290","3380","3480","3520","3610","4010","3970","3870","4160","","",
"Burundi","BDI","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","637.5615","643.0826","655.5322","690.5126","664.5191","717.3462","723.0471","724.7707","712.1072","728.314","653.3436","578.1004","581.1539","588.0979","569.0174","591.4242","646.319","630.7911","648.2534","602.113","1190","1200","1220","1220","1170","1220","1210","1220","1290","1320","1330","1350","1350","1380","1420","1450","1500","1510","1570","1620","1710","1780","1810","1960","1970","1940","2090","2300","2360","","",
"Belgium","BEL","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","10669.766","11390.733","11637.462","11775.722","13428.022","11201.385","11253.868","12676.675","13317.321","13450.497","13568.173","13961.47","13163.747","13889.271","14975.077","14633.829","14129.955","13647.285","12975.794","12619.604","8160","8120","7770","8000","8530","8900","9410","9100","9190","9120","7760","7500","8010","7240","7330","7090","6090","5490","5540","5630","6130","4880","4930","4770","4740","4790","4490","4440","4460","","",
"Benin","BEN","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","2625.328","2561.1084","2549.8523","2793.7107","2150.47","2344.4587","2433.5992","2873.6225","2457.9497","2684.8728","3349.767","2798.8288","3253.171","3070.4601","3079.1432","2829.9869","2786.1374","2904.2598","2687.9139","2928.632","1680","1740","1770","1800","1910","1850","2130","2230","2320","2280","2440","2010","2320","2090","2000","2400","2190","2290","2100","2220","2280","2340","2400","2510","2510","2470","2670","2570","2930","","",
"Burkina Faso","BFA","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","2515.1447","2486.8727","2363.4059","2375.8121","2110.3312","2250.2218","2328.7913","2575.5079","2409.3107","2573.961","2932.4233","2734.9595","3041.1341","2986.2827","3042.5229","3191.791","3332.748","3480.401","3480.494","3684.815","4800","5020","5110","5200","5460","5580","5530","5770","5830","5980","6450","5920","6290","7610","7810","8110","7920","8070","8230","8420","8790","8790","8850","9140","9220","9310","9830","9860","9850","","",
"Bangladesh","BGD","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","9831.836","9460.425","9934.415","10077.418","9780.097","10568.644","10897.12","11443.96","12137.864","12648.403","11498.861","11457.848","12030.449","12423.653","13083.116","13132.158","13727.823","14221.436","15066.341","16166.748","16420","17210","17510","17890","18540","19810","20360","19880","19930","21190","21360","21820","22400","21930","22060","22830","23860","23950","26030","25530","26060","27070","26470","26650","27550","28210","27270","28400","29240","","",
